sample_id,image_path,noisy_title
1,:\Users\divan\Downloads\dataset\1.png,simple pasta toss
2,:\Users\divan\Downloads\dataset\2.png,sloppy joes
3,:\Users\divan\Downloads\dataset\3.png,the ultimate greek salad
4,:\Users\divan\Downloads\dataset\4.png,the best easy beef and brocolli fry
5,:\Users\divan\Downloads\dataset\5.png,lasagna
6,:\Users\divan\Downloads\dataset\6.png,ground beef gyros
7,:\Users\divan\Downloads\dataset\7.png,chicken fried rice
8,:\Users\divan\Downloads\dataset\8.png,jo mama world famous spaghetti
9,:\Users\divan\Downloads\dataset\9.png,turkey meatloaf
10,:\Users\divan\Downloads\dataset\10.png,mexican rice
11,:\Users\divan\Downloads\dataset\11.png,pizza meatloaf cups
12,C:\Users\divan\Downloads\dataset\12.png,stovetop tuna casserole
13,C:\Users\divan\Downloads\dataset\13.png,perfect rump roast
14,C:\Users\divan\Downloads\dataset\14.png,japanese mum's chicken
15,C:\Users\divan\Downloads\dataset\15.png,famous challah
